                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     29,                 1.6342,                 1.0405,                 2.0124,                0.90372,                 0.8817,                0.92927,                0.47477,                    nan,                    nan,                    nan,               0.007327,               0.007327,               0.007327
                     30,                  1.635,                 1.0321,                 2.0029,                0.89844,                0.87869,                0.92674,                0.47333,                    nan,                    nan,                    nan,               0.007228,               0.007228,               0.007228
                     31,                 1.6322,                 1.0331,                 2.0071,                0.89402,                0.88758,                0.92856,                0.47515,                    nan,                    nan,                    nan,               0.007129,               0.007129,               0.007129
                     32,                 1.6298,                 1.0309,                 2.0009,                0.90342,                0.87872,                0.92943,                0.47496,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                     33,                 1.6287,                  1.023,                  2.002,                0.90584,                0.88137,                0.92899,                0.47791,                    nan,                    nan,                    nan,               0.006931,               0.006931,               0.006931
                     34,                 1.6267,                 1.0098,                  1.995,                0.90546,                0.88812,                0.93161,                0.47808,                    nan,                    nan,                    nan,               0.006832,               0.006832,               0.006832
                     35,                  1.625,                 1.0092,                 2.0002,                0.90521,                0.88692,                0.93364,                0.48009,                    nan,                    nan,                    nan,               0.006733,               0.006733,               0.006733
                     36,                 1.6254,                 1.0115,                 2.0057,                0.90141,                0.88998,                0.93155,                 0.4796,                    nan,                    nan,                    nan,               0.006634,               0.006634,               0.006634
                     37,                 1.6202,                 1.0069,                 1.9885,                0.90124,                0.89603,                0.93314,                0.48189,                    nan,                    nan,                    nan,               0.006535,               0.006535,               0.006535
                     38,                 1.6132,                0.99742,                 1.9873,                0.90413,                 0.8921,                0.93184,                0.48145,                    nan,                    nan,                    nan,               0.006436,               0.006436,               0.006436
                     39,                 1.6217,                 1.0026,                 1.9927,                0.90841,                0.88942,                0.93342,                0.48195,                    nan,                    nan,                    nan,               0.006337,               0.006337,               0.006337
                     40,                 1.6156,                0.98723,                 1.9902,                0.90934,                 0.8965,                0.93566,                0.48148,                    nan,                    nan,                    nan,               0.006238,               0.006238,               0.006238
                     41,                 1.6158,                0.99021,                 1.9909,                0.90316,                0.89234,                0.93254,                0.48159,                    nan,                    nan,                    nan,               0.006139,               0.006139,               0.006139
                     42,                  1.621,                0.99493,                 1.9908,                0.91079,                0.89229,                0.93483,                0.48152,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                     43,                 1.6051,                0.97764,                  1.981,                0.90838,                0.90061,                0.93587,                  0.484,                    nan,                    nan,                    nan,               0.005941,               0.005941,               0.005941
                     44,                 1.6072,                0.97414,                 1.9767,                0.90695,                0.90269,                  0.937,                0.48705,                    nan,                    nan,                    nan,               0.005842,               0.005842,               0.005842
                     45,                 1.6033,                0.95941,                 1.9833,                0.91052,                 0.9001,                  0.935,                0.48401,                    nan,                    nan,                    nan,               0.005743,               0.005743,               0.005743
                     46,                 1.6065,                  0.961,                 1.9804,                0.90853,                0.89914,                0.93555,                0.48503,                    nan,                    nan,                    nan,               0.005644,               0.005644,               0.005644
                     47,                 1.6039,                0.96889,                 1.9839,                0.91162,                0.89946,                0.93652,                0.48559,                    nan,                    nan,                    nan,               0.005545,               0.005545,               0.005545
                     48,                 1.5989,                0.95962,                 1.9785,                0.90793,                0.90416,                 0.9371,                0.48671,                    nan,                    nan,                    nan,               0.005446,               0.005446,               0.005446
                     49,                 1.5987,                0.95248,                 1.9736,                0.91214,                0.89887,                0.93567,                0.48541,                    nan,                    nan,                    nan,               0.005347,               0.005347,               0.005347
                     50,                 1.5992,                0.95346,                  1.976,                0.91492,                 0.9041,                0.93815,                0.48768,                    nan,                    nan,                    nan,               0.005248,               0.005248,               0.005248
                     51,                 1.5906,                0.93923,                 1.9683,                0.90952,                0.90736,                0.93894,                0.48859,                    nan,                    nan,                    nan,               0.005149,               0.005149,               0.005149
                     52,                 1.5908,                 0.9301,                 1.9694,                0.91445,                0.90236,                0.93807,                0.48971,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                     53,                 1.5909,                0.94406,                 1.9633,                0.91025,                0.90384,                0.93735,                 0.4879,                    nan,                    nan,                    nan,               0.004951,               0.004951,               0.004951
                     54,                 1.5867,                0.94282,                 1.9678,                0.90991,                0.90362,                0.93838,                0.48769,                    nan,                    nan,                    nan,               0.004852,               0.004852,               0.004852
                     55,                 1.5872,                0.93231,                 1.9641,                0.90833,                0.90239,                0.93718,                0.48827,                    nan,                    nan,                    nan,               0.004753,               0.004753,               0.004753
                     56,                 1.5895,                0.93019,                  1.968,                0.91208,                0.90751,                0.93944,                0.48957,                    nan,                    nan,                    nan,               0.004654,               0.004654,               0.004654
                     57,                 1.5844,                0.92369,                 1.9632,                0.91512,                0.90611,                 0.9398,                0.49068,                    nan,                    nan,                    nan,               0.004555,               0.004555,               0.004555
                     58,                 1.5869,                0.92134,                 1.9645,                0.91116,                0.90342,                0.93874,                0.49099,                    nan,                    nan,                    nan,               0.004456,               0.004456,               0.004456
                     59,                 1.5831,                0.92592,                 1.9676,                0.90916,                0.90588,                 0.9386,                0.49074,                    nan,                    nan,                    nan,               0.004357,               0.004357,               0.004357
                     60,                 1.5753,                0.91855,                 1.9553,                0.90992,                0.90902,                0.94015,                0.49021,                    nan,                    nan,                    nan,               0.004258,               0.004258,               0.004258
                     61,                 1.5736,                0.90606,                 1.9564,                0.91538,                0.90815,                0.93993,                0.48975,                    nan,                    nan,                    nan,               0.004159,               0.004159,               0.004159
                     62,                 1.5781,                 0.9163,                 1.9611,                0.91034,                0.91271,                0.93978,                0.48951,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
                     63,                 1.5772,                0.90975,                 1.9575,                0.91617,                0.90955,                0.94107,                0.49039,                    nan,                    nan,                    nan,               0.003961,               0.003961,               0.003961
                     64,                 1.5741,                0.90949,                 1.9576,                0.91568,                0.90638,                0.94077,                0.48979,                    nan,                    nan,                    nan,               0.003862,               0.003862,               0.003862
                     65,                 1.5687,                0.89701,                 1.9521,                0.91269,                0.90709,                0.94002,                0.49001,                    nan,                    nan,                    nan,               0.003763,               0.003763,               0.003763
                     66,                 1.5694,                0.89984,                 1.9551,                0.91091,                0.90835,                0.93892,                   0.49,                    nan,                    nan,                    nan,               0.003664,               0.003664,               0.003664
                     67,                 1.5638,                0.90257,                 1.9501,                0.91301,                0.90815,                0.94035,                0.48994,                    nan,                    nan,                    nan,               0.003565,               0.003565,               0.003565
                     68,                 1.5605,                0.88488,                 1.9409,                0.91396,                0.90789,                0.94085,                 0.4903,                    nan,                    nan,                    nan,               0.003466,               0.003466,               0.003466
                     69,                 1.5645,                 0.8868,                 1.9513,                0.91409,                0.90685,                0.94123,                0.49165,                    nan,                    nan,                    nan,               0.003367,               0.003367,               0.003367
                     70,                 1.5593,                0.89214,                  1.942,                 0.9141,                0.90751,                0.94098,                0.49154,                    nan,                    nan,                    nan,               0.003268,               0.003268,               0.003268
                     71,                 1.5538,                0.87231,                 1.9407,                0.91417,                 0.9057,                0.94117,                0.49038,                    nan,                    nan,                    nan,               0.003169,               0.003169,               0.003169
                     72,                 1.5573,                0.88041,                 1.9362,                0.91728,                0.90354,                0.94045,                0.49062,                    nan,                    nan,                    nan,                0.00307,                0.00307,                0.00307
                     73,                 1.5563,                0.87085,                 1.9385,                0.91557,                0.90517,                0.94077,                 0.4909,                    nan,                    nan,                    nan,               0.002971,               0.002971,               0.002971
                     74,                 1.5531,                0.87226,                 1.9366,                0.91687,                0.90579,                0.94095,                0.49085,                    nan,                    nan,                    nan,               0.002872,               0.002872,               0.002872
                     75,                 1.5419,                0.86839,                 1.9329,                0.91791,                0.90418,                0.94087,                0.49034,                    nan,                    nan,                    nan,               0.002773,               0.002773,               0.002773
                     76,                 1.5503,                0.86268,                 1.9347,                 0.9172,                0.90623,                 0.9415,                0.49058,                    nan,                    nan,                    nan,               0.002674,               0.002674,               0.002674
                     77,                 1.5388,                0.86577,                  1.929,                0.91485,                0.90753,                0.94102,                0.49034,                    nan,                    nan,                    nan,               0.002575,               0.002575,               0.002575
                     78,                 1.5425,                0.85963,                 1.9325,                0.91586,                  0.907,                 0.9413,                0.48999,                    nan,                    nan,                    nan,               0.002476,               0.002476,               0.002476
                     79,                 1.5417,                0.85795,                 1.9336,                0.91355,                0.90778,                0.94082,                0.49021,                    nan,                    nan,                    nan,               0.002377,               0.002377,               0.002377
                     80,                 1.5351,                0.85616,                 1.9219,                0.91363,                0.90748,                0.94032,                0.49003,                    nan,                    nan,                    nan,               0.002278,               0.002278,               0.002278
                     81,                 1.5335,                0.85092,                 1.9165,                 0.9149,                 0.9067,                0.94059,                0.49011,                    nan,                    nan,                    nan,               0.002179,               0.002179,               0.002179
                     82,                  1.535,                0.85478,                 1.9303,                0.91247,                0.90812,                0.94017,                  0.489,                    nan,                    nan,                    nan,                0.00208,                0.00208,                0.00208
                     83,                 1.5313,                0.83915,                 1.9257,                0.91246,                0.90829,                0.93998,                0.48923,                    nan,                    nan,                    nan,               0.001981,               0.001981,               0.001981
                     84,                 1.5287,                0.84475,                 1.9192,                0.91147,                0.90934,                0.93989,                0.48899,                    nan,                    nan,                    nan,               0.001882,               0.001882,               0.001882
                     85,                 1.5252,                0.83885,                 1.9111,                0.91313,                0.90777,                0.93973,                0.48892,                    nan,                    nan,                    nan,               0.001783,               0.001783,               0.001783
