                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2356,                 4.4204,                 3.6953,                0.09795,                0.13387,                0.04948,                0.01668,                    nan,                    nan,                    nan,               0.003328,               0.003328,               0.003328
                      2,                 2.0881,                  2.909,                 2.5378,                0.43419,                0.38613,                0.34366,                0.13984,                    nan,                    nan,                    nan,              0.0065954,              0.0065954,              0.0065954
                      3,                 1.8911,                 2.2679,                 2.3136,                0.68089,                0.59313,                0.66749,                 0.3046,                    nan,                    nan,                    nan,              0.0097968,              0.0097968,              0.0097968
                      4,                 1.8152,                 1.8957,                 2.2185,                0.76686,                0.70597,                0.77849,                0.36362,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      5,                 1.7773,                 1.6751,                  2.173,                0.78666,                0.72846,                0.80584,                0.38416,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      6,                 1.7509,                 1.5279,                  2.135,                0.81325,                0.75298,                0.83861,                0.40486,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                      7,                 1.7416,                 1.4542,                 2.1234,                0.81379,                0.74434,                0.82913,                0.40286,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                      8,                 1.7217,                 1.3815,                 2.1124,                0.83278,                 0.7729,                 0.8503,                0.41259,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                      9,                 1.7145,                 1.3337,                 2.0991,                0.84555,                0.78989,                0.86616,                0.42579,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                     10,                 1.7115,                 1.3159,                 2.0941,                0.86367,                0.80784,                0.88082,                0.43524,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                     11,                 1.7037,                 1.2709,                 2.0778,                0.85179,                0.78629,                0.86207,                0.42069,                    nan,                    nan,                    nan,               0.009109,               0.009109,               0.009109
                     12,                 1.6959,                 1.2546,                 2.0775,                0.86136,                 0.8045,                0.88027,                0.43777,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                     13,                 1.6953,                 1.2302,                 2.0763,                0.86951,                0.83074,                0.89667,                0.44794,                    nan,                    nan,                    nan,               0.008911,               0.008911,               0.008911
                     14,                 1.6886,                 1.2005,                 2.0686,                0.88058,                 0.8373,                 0.9017,                0.45336,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     15,                 1.6786,                 1.1837,                 2.0537,                0.86654,                0.84074,                0.89899,                0.45053,                    nan,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     16,                 1.6771,                 1.1785,                 2.0599,                0.88074,                0.83826,                0.90182,                0.45053,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     17,                 1.6684,                 1.1466,                 2.0537,                0.87269,                0.85505,                 0.9075,                0.44992,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     18,                 1.6731,                 1.1449,                 2.0495,                0.89153,                0.84998,                0.90854,                0.45747,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     19,                 1.6616,                 1.1278,                 2.0379,                0.88818,                0.85066,                 0.9107,                0.45688,                    nan,                    nan,                    nan,               0.008317,               0.008317,               0.008317
                     20,                 1.6611,                 1.1048,                 2.0329,                0.88602,                0.86653,                0.91644,                0.46231,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
                     21,                 1.6619,                 1.1047,                 2.0382,                0.89218,                0.86355,                0.91689,                0.46467,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     22,                 1.6597,                 1.1001,                 2.0341,                0.89121,                0.87126,                0.91801,                0.46252,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     23,                 1.6543,                 1.0931,                 2.0311,                 0.8921,                0.86867,                0.91866,                0.46767,                    nan,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                     24,                 1.6469,                 1.0759,                   2.02,                0.89343,                0.87708,                0.92458,                0.47068,                    nan,                    nan,                    nan,               0.007822,               0.007822,               0.007822
                     25,                  1.647,                 1.0731,                 2.0245,                0.89714,                0.87415,                0.91932,                 0.4657,                    nan,                    nan,                    nan,               0.007723,               0.007723,               0.007723
                     26,                 1.6445,                  1.067,                 2.0175,                 0.9013,                0.86896,                0.92476,                0.47084,                    nan,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                     27,                 1.6442,                 1.0545,                 2.0198,                 0.8971,                0.87672,                0.92454,                0.46977,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                     28,                 1.6386,                 1.0461,                  2.018,                0.88683,                0.87535,                0.92367,                0.47252,                    nan,                    nan,                    nan,               0.007426,               0.007426,               0.007426
