                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.826,                 1.4215,                 2.0564,                0.83699,                0.91509,                0.89505,                0.50661,                 1.5912,                 1.1611,                 2.0145,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.8332,                 1.4307,                 2.0486,                0.81196,                0.89784,                0.84066,                0.47266,                 1.5531,                 1.1868,                 1.9869,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.8104,                 1.4641,                  2.016,                0.89503,                0.92869,                0.96514,                0.55979,                 1.5753,                 1.0579,                 1.9765,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.7191,                 1.3228,                 1.9547,                0.91967,                 0.9505,                0.97705,                 0.5649,                 1.5601,                 1.0623,                 1.9707,               0.001307,               0.001307,               0.001307
                     38,                 1.7404,                  1.304,                 1.9742,                0.87983,                0.90099,                0.93261,                0.52402,                 1.5588,                 1.0481,                 1.9759,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.7413,                 1.2775,                   1.88,                0.84442,                 0.9136,                0.93218,                0.57023,                 1.3832,                 1.3047,                 1.8328,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.7839,                 1.4013,                 2.0235,                0.87348,                0.93069,                0.96079,                0.57497,                 1.5324,                 0.9913,                 1.9351,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.7439,                 1.3436,                 1.9378,                0.92949,                0.93069,                0.97949,                 0.6395,                 1.3722,                0.96154,                 1.8177,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.7001,                 1.3116,                  1.898,                0.93677,                0.89109,                0.97186,                0.61141,                 1.3799,                 1.0128,                 1.8484,               0.001208,               0.001208,               0.001208
                     43,                 1.6609,                 1.2735,                 1.9184,                0.88243,                0.92079,                0.96007,                0.60146,                 1.3893,                  1.016,                 1.8185,              0.0011882,              0.0011882,              0.0011882
                     44,                  1.678,                 1.3227,                 1.9146,                0.88564,                 0.9802,                0.97726,                0.58549,                  1.447,                0.96641,                  1.889,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.6464,                 1.2859,                 1.8416,                0.84405,                0.96462,                0.93822,                 0.5883,                 1.3434,                0.98897,                 1.7982,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.6828,                 1.4243,                 1.9051,                0.87784,                0.94059,                0.95246,                0.56162,                 1.4912,                0.96305,                 1.9163,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.6973,                 1.4371,                 1.9227,                0.92188,                0.93471,                0.97124,                0.59104,                 1.4132,                 1.0228,                 1.8518,               0.001109,               0.001109,               0.001109
                     48,                  1.691,                 1.3126,                 1.9149,                0.87481,                 0.9686,                0.97028,                0.57564,                 1.4803,                0.97928,                 1.9159,              0.0010892,              0.0010892,              0.0010892
                     49,                  1.661,                  1.331,                  1.969,                0.81184,                 0.9604,                 0.9311,                0.59952,                 1.3584,                 1.0298,                 1.7954,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.6895,                 1.2979,                 1.9807,                0.82912,                0.94059,                0.93109,                0.56791,                 1.4004,                 1.0027,                 1.8418,              0.0010496,              0.0010496,              0.0010496
